last_scraped,name,neighbourhood_cleansed,latitude,longitude,price
9/22/2022,Descansa en la Suite de la Abuelita San Angel CDMX,Álvaro Obregón,19.34735,-99.19016,"$2,900.00 "
9/22/2022,Un descanso en CDMX,Cuauhtémoc,19.45595,-99.15944,$210.00 
9/23/2022,Recline on the Terrace of this 1920s Art Nouveau Mansion,Cuauhtémoc,19.41501,-99.16565,"$1,800.00 "
9/23/2022,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),Cuauhtémoc,19.41346,-99.1775,"$2,600.00 "
9/23/2022,"""Frida"" beautiful Private Room",Cuauhtémoc,19.41269,-99.15512,$550.00 
9/23/2022,Stylish home in the heart of Mexico City,Cuauhtémoc,19.43149,-99.165543,"$1,977.00 "
9/23/2022,Habitación individual c baño propio,Cuauhtémoc,19.41095,-99.18215,"$1,278.00 "
9/23/2022,"historic center, balcony overlooking the city 12D",Cuauhtémoc,19.43374,-99.14616,"$1,518.00 "
9/23/2022,Two Floor apartment in Porfirian Town House,Cuauhtémoc,19.41919,-99.15894,"$1,957.00 "
9/23/2022,"Cozy apartment in Condesa, Mexico",Cuauhtémoc,19.41147,-99.17284,"$1,130.00 "
9/22/2022,"Descansa en la suite del geógrafo, San Angel CDMX",Álvaro Obregón,19.34923,-99.19307,"$2,200.00 "
9/22/2022,Apartment close to the Basílica.,Gustavo A. Madero,19.48321,-99.11241,$400.00 
9/22/2022,"Cómodo Estudio del Botánico, San Angel CDMX",Álvaro Obregón,19.34723,-99.19396,"$1,800.00 "
9/23/2022,Beautiful appartement on Reforma,Cuauhtémoc,19.43221,-99.15708,"$1,498.00 "
9/22/2022,House in Xochimilco,Xochimilco,19.26541,-99.11365,$600.00 
9/23/2022,"Stylish 2BR penthouse, views, in Historic Center",Cuauhtémoc,19.43427,-99.13832,"$4,992.00 "
9/23/2022,"Magnificent 2-BR apartment, views",Cuauhtémoc,19.43423,-99.13718,"$5,991.00 "
9/23/2022,90m2 / Mexico City's Hist. downtown,Cuauhtémoc,19.43826,-99.1366,"$1,362.00 "
9/23/2022,Amazing location /  Behind Hilton Hotel,Cuauhtémoc,19.43432,-99.14581,$850.00 
9/23/2022,40's Apartment downtown Mexico City,Cuauhtémoc,19.41143,-99.16533,"$1,519.00 "
9/22/2022,Apt near Mexico City's downtown,Cuauhtémoc,19.44614,-99.15868,"$2,000.00 "
9/23/2022,Near park Mexico. Brilliant and renovated flat!,Cuauhtémoc,19.41638,-99.16868,"$1,298.00 "
9/22/2022,nice apartment in colonia del Valle,Benito Juárez,19.38089,-99.17245,"$1,000.00 "
